n.name,n.akaEn
Jimi Hendrix,"[Johnny Allen Hendrix,James Marshall Hendrix,Jim Hendrix,Jimmy James]"
Freddie Mercury,"[Freddie mercury,freddie mercury,freddie MercuryFarrokh Bulsara,Frederick Mercury]"
Brian May,"[Brian Harold May,00087038166 IPI]"
Roger Taylor,[Roger Meddows-Taylor]
John Deacon,[John Richard Deacon]
Ken Livingstone,"[Kenneth Robert Livingstone,Kenneth Robert 'Ken' Livingstone]"
Boris Johnson,"[Alexander Boris de Pfeffel Johnson,BoJo]"
Sadiq Khan,[Sadiq Aman Khan]
Richard Skinner,null
Tommy Vance,[Presbyter of Ireland]
Harvey Goldsmith,null
Andy Peebles,null
Noel Edmonds,[Noel Ernest Edmonds]
Griff Rhys Jones,null
Mel Smith,[Melvyn Kenneth Smith]
Jack Nicholson,[John Joseph Nicholson]
Billy Connolly,null
John Hurt,"[John Vincent Hurt,Sir John Vincent Hurt,Sir John Hurt]"
Bill Graham,[Wulf Wolodia Grajonca]
Chevy Chase,"[Cornelius Crane Chase,Cornelius Crane 'Chevy' Chase]"
Joe Piscopo,null
Marilyn McCoo,null
George Segal,null
Grace Slick,[Grace Barnett Slick]
Bette Midler,[The Divine Miss M]
Don Johnson,"[Donny Wayne Johnson,Donald Wayne Johnson]"
Phil Collins,"[Philip David Charles Collins,Phillip David Charles Collins,Philip David Charles 'Phil' Collins]"
Dionne Warwick,[Marie Dionne Warrick]
Vladimir Posner,null
Udo Lindenberg,null
Andy Kershaw,null
Michael Jackson,"[MJ,The King of Pop,Michael Joe Jackson,Michael Joseph Jackson]"
John Lennon,"[John Winston Lennon,John Winston Ono Lennon,Winston Lennon John,Lennon Legend,00017798450 IPI,00273545259 IPI,John Renon,Lennon John]"
Ringo Starr,"[Richard Starkey,00029470380 IPI]"
Paul McCartney,"[Sir Paul McCartney,James Paul McCartney,Macca,00018873266 IPI,00080667953 IPI]"
George Harrison,"[The Quiet Beatle,Nelson Wilbury,00013482508 IPI]"
Pete Best,"[The Fifth Beatle,Randolph Peter Best]"
Stuart Sutcliffe,"[S. Sutcliffe,Stuart Fergusson Victor Sutcliffe]"
Chas Newby,null
Tommy Moore,null
Brian Epstein,[Brian Samuel Epstein]
Elvis Presley,"[Elvis,Elvis Aaron Presley,The King Of Rock'n'Roll]"
Buddy Holly,"[Charles Hardin Holley,00085469927 IPI]"
Chuck Berry,"[Charles Edward Anderson Berry,Charles Edward Anderson 'Chuck' Berry,Charles Edward Anderson Chuck Berry,00002948497 IPI]"
Little Richard,"[Richard Wayne Penniman,Richard Penniman,00023850894 IPI]"
Bob Dylan,"[Bob Landy,Robert Milkwood Thomas,Tedham Porterhouse,Robert Zimmerman,Blind Boy Grunt,Robert Allen Zimmerman,Jack Frost,Elston Gunn,Lucky Wilbury,Boo Wilbury,Sergei Petrov,Robert Dylan,Alias,00008955172 IPI]"
Timothy Leary,[Timothy Francis Leary]
Ravi Shankar,"[Pandit Ravi Shankar,Robindro Shaunkor Chowdhury]"
Ludwig van Beethoven,"[Beethoven,L. van Beethoven,Ludvig van Beethoven,Ludwig Van Beethoven,L. Bethovenas,Ludwik van Beethoven,Louis van Beethoven,L. v. Beethoven,L. van Betkhoven]"
Johann Sebastian Bach,"[J.S. Bach,Bach,J. S. Bach,J S Bach]"
James Brown,"[James Joseph Brown, Jr.,The Godfather of Soul]"
Mose Allison,"[Mose John Allison, Jr.]"
Roger Daltrey,[Roger Harry Daltrey]
Pete Townshend,[Peter Dennis Blandford Townshend]
John Entwistle,"[John Alec Entwistle,The Ox,Thunderfingers,Enty,The Quiet One,Big Johnny Twinkle]"
Keith Moon,"[Keith John Moon,Moon the Loon]"
Kenney Jones,[Kenneth Thomas 'Kenney' Jones]
Leon Hendrix,null
Jack Bruce,"[John Symon Asher Bruce,John Simon Asher Bruce]"
Eric Clapton,"[Eric Patrick Clapton,Slowhand,woman tone]"
Ginger Baker,[Peter Edward 'Ginger' Baker]
Jac Holzman,null
Johnny Mercer,"[John Herndon Mercer,00020520152 IPI,00431195479 IPI]"
Buddy DeSylva,"[00071736572 IPI,George Gard DeSylva,00337461754 IPI,B.G. De Sylva]"
Michael Eisner,[Michael Dammann Eisner]
Chris Blackwell,[Christopher Percy Gordon Blackwell]
Graeme Goodall,null
Leslie Kong,null
Theresa May,"[Theresa Mary Brasier,Prime Minister Theresa May,Prime Minister May,Prime Minister Theresa Mary May,PM Theresa May,PM Theresa Mary May,PM May,Theresa Mary May]"
David Cameron,[David William Donald Cameron]
